Symbol_1,date,environmentalScore,socialScore,governanceScore,ESGScore
INTU,2024-10-31,64.27,59.5,57.07,60.28
INVEA.ST,,,,,
IVC.AX,,,,,
IPS.PA,,,,,
ISAGEN,,,,,
ITE.L,,,,,
ITC.BO,,,,,
ISS.CO,,,,,
IT.MI,,,,,
ITSA4.SA,,,,,
ITUB3.SA,,,,,
JBL,2024-11-30,33.1,31.26,50.19,38.18
JBSS3.SA,,,,,
VIAV,2024-12-28,24.9,12.44,65.39,34.24
JMT.LS,,,,,
JM.ST,,,,,
JMAT.L,,,,,
JNJ,2024-12-29,82.79,68.31,70.15,73.75
JLL,2024-09-30,56.62,70.75,76.25,67.87
JSE.JO,,,,,
JPM,2024-12-31,57.75,70.86,62.02,63.54
JNPR,2024-09-30,68.22,63.18,66.94,66.12
4452.T,,,,,
1812.T,,,,,
105560.KS,,,,,
9107.T,,,,,
7012.T,,,,,
9433.T,,,,,
002380.KS,,,,,
K,2024-09-28,70.66,66.71,75.37,70.91
KEMIRA.HE,,,,,
0273412D.TO,,,,,
KIE.L,,,,,
KESAV.HE,,,,,
KEY,2024-09-30,54.78,63.39,61.27,59.81
2503.T,,,,,
KIM,2024-09-30,58.81,56.68,61.3,58.93
KMB,2024-12-31,74.2,75.82,72.59,74.21
KGF.L,,,,,
K.TO,,,,,
9041.T,,,,,
5406.T,,,,,
KPG.NZ,,,,,
KLBN4.SA,,,,,
LI.PA,,,,,
1012Z.OL,,,,,
KSS,2024-11-02,52.8,66.84,66.83,62.16
7984.T,,,,,
6301.T,,,,,
KNEBV.HE,,,,,
KOG.OL,,,,,
4902.T,,,,,
KBC.DE,,,,,
KRFT,,,,,
3405.T,,,,,
KRN.DE,,,,,
030200.KS,,,,,
033780.KS,,,,,
KNIN.SW,,,,,
6326.T,,,,,
KIO.JO,,,,,
OR.PA,,,,,
LG.PA,,,,,
LAND.L,,,,,
LXS.DE,,,,,
LT.BO,,,,,
LAT1V.HE,,,,,
LVS,2024-12-31,63.22,60.52,61.55,61.76
NOT,,,,,
LR.PA,,,,,
LM,2020-03-31,60.97,66.26,70.42,65.88
CIM.AX,,,,,
LEM1S.HE,,,,,
LGEN.L,,,,,
LSG.OL,,,,,
LBH.JO,,,,,
LEVI,2024-12-01,54.74,58.87,59.91,57.84
LXK,2016-03-31,77.5,65.75,58.34,67.2
051910.KS,,,,,
066570.KS,,,,,
051900.KS,,,,,
LIGT3.SA,,,,,
1255459D,,,,,
LB,2024-09-30,68.21,72.83,70.02,70.35
6955017Z.L,,,,,
0823.HK,,,,,
4912.T,,,,,
LLOY.L,,,,,
2301.TW,,,,,
LREN3.SA,,,,,
LMT,2024-12-31,67.82,66.7,68.78,67.77
LSE.L,,,,,
LMI.L,,,,,
LOW,2024-11-01,63.9,67.48,74.24,68.54
LSI,2023-03-31,73.57,75.87,73.01,74.15
LUN.CO,,,,,
LUPE.ST,,,,,
MC.PA,,,,,
MM.BO,,,,,
MOL.BD,,,,,
MAY.KL,,,,,
MAN.DE,,,,,
MKS.L,,,,,
MAR,2024-12-31,59.33,63.58,70.16,64.36
MFC.TO,,,,,
MAP.MC,,,,,
MRFG3.SA,,,,,
MHG.OL,,,,,
4614Z,,,,,
MMC,2024-12-31,53.47,55.39,61.02,56.63
MSLH.L,,,,,
MRVL,2024-11-02,66.1,63.67,59.23,63
MAS,2024-12-31,53.58,55.16,59.04,55.93
MSM.JO,,,,,
7261.T,,,,,
MAT,2024-09-30,67.44,71.76,65.67,68.29
MCB.L,,,,,
SPGI,2024-12-31,68.89,68.37,72.97,70.07
MWV,,,,,
MEDAA.ST,,,,,
MDC.JO,,,,,
MB.MI,,,,,
MDT,2024-10-25,79.35,68.31,61.25,69.64
MRK.DE,,,,,
MRK,2024-09-30,75.78,72.32,72.93,73.67
CEC.DE,,,,,
MTS.AX,,,,,
MMI.JO,,,,,
METSO.HE,,,,,
MSFT,2024-12-31,71.75,58.7,60.1,63.52
MLC.L,,,,,
MIC.ST,,,,,
037620.KS,,,,,
MGR.AX,,,,,
7011.T,,,,,
MTO.L,,,,,
5711.T,,,,,
4188.T,,,,,
6503.T,,,,,
4183.T,,,,,
8306.T,,,,,
8411.T,,,,,
9104.T,,,,,
MON,2022-06-30,59.03,76.43,70.19,68.55
MOL,,,,,
TAP,2024-09-30,65.34,70.47,75.7,70.5
MTGA.ST,,,,,
MN.MI,,,,,
0133220D,,,,,
MND.AX,,,,,
MNDI.L,,,,,
MRW.L,,,,,
MOS,2024-09-30,63.5,69.91,82.72,72.04
MGAM.L,,,,,
MGNS.L,,,,,
MS,2024-09-30,62.17,73.05,57.8,64.34
MTN.JO,,,,,
0066.HK,,,,,
MGPI,2024-09-30,74.29,66.58,72.13,71
6981.T,,,,,
MUV2.DE,,,,,
MUR.JO,,,,,
9044.T,,,,,
NPK.JO,,,,,
NDAQ,2024-09-30,69.12,63.92,59.5,64.18
ETE.AT,,,,,
8367.T,,,,,
NAB.AX,,,,,
NA.TO,,,,,
NEX.L,,,,,
NG.L,,,,,
NCCA.ST,,,,,
NATU3.SA,,,,,
6701.T,,,,,
NED.JO,,,,,
NESTE.HE,,,,,
NESN.SW,,,,,
NTC.JO,,,,,
NTAP,2024-10-25,77.75,61.87,64.15,67.93
CLS.JO,,,,,
NCM.AX,,,,,
NEM,2024-09-30,64.41,68.66,86,73.02
FOX,2024-12-31,50,72.6,65.51,62.7
NHH.MC,,,,,
NXI.PA,,,,,
7731.T,,,,,
9432.T,,,,,
NI,2024-12-31,58.74,66.43,78.56,67.91
4612.T,,,,,
9101.T,,,,,
7240.T,,,,,
8604.T,,,,,
NOKIA.HE,,,,,
7201.T,,,,,
6988.T,,,,,
3105.T,,,,,
NKT.CO,,,,,
NOBI.ST,,,,,
NDA.ST,,,,,
NSC,2024-12-31,59.67,64.59,69.56,64.6
NDX1.DE,,,,,
NHM.JO,,,,,
ES,2024-12-31,62.67,74.06,73.28,70
NTRS,2024-09-30,72.91,79.67,78.93,77.17
NOC,2024-12-31,63.41,65.71,77.01,68.71
NPRO.OL,,,,,
NOVOB.CO,,,,,
NZYMB.CO,,,,,
NOVN.SW,,,,,
NVTK,,,,,
NRG,2024-09-30,56.76,72.89,75.16,68.27
6471.T,,,,,
9613.T,,,,,
9437.T,,,,,
6472.T,,,,,
8933.T,,,,,
NVDA,2024-10-27,68.9,66.51,69.95,68.46
1802.T,,,,,
0686576D,,,,,
OHL.MC,,,,,
ODPV3.SA,,,,,
ODF.OL,,,,,
POST,2024-12-31,99.76,67.25,75.92,80.98
OML.L,,,,,
7733.T,,,,,
OMV,,,,,
ARI.AX,,,,,
OMC,2024-12-31,56.15,54,62.25,57.47
6645.T,,,,,
ST,2024-09-30,52.09,54.97,60.68,55.91
1272705D.TO,,,,,
ORCL,2024-11-30,71.7,69.16,63.7,68.19
9532.T,,,,,
ORK.OL,,,,,
ORA,2024-09-30,72.44,64.79,60.14,65.79
ORI.ST,,,,,
8591.T,,,,,
OUT1V.HE,,,,,
OTE1V.HE,,,,,
2343.HK,,,,,
OC,2024-09-30,70.33,66.38,72.97,69.89
PNA.AX,,,,,
6752.T,,,,,
PWTN.SW,,,,,
PGHN.SW,,,,,
PH,2024-12-31,75.94,70.03,74.56,73.51
1615842Z.L,,,,,
IGTE,,,,,
PEABB.ST,,,,,
PSON.L,,,,,
PGF.TO,,,,,
PNN.L,,,,,
OBE.TO,,,,,
RI.PA,,,,,
POM,2020-03-31,73.24,67.54,66.19,68.99
PPT.AX,,,,,
PKI,2023-12-31,65.85,65.59,69.53,66.99
PEP,2024-12-28,71.57,73.45,72.94,72.65
PSN.L,,,,,
PGS.OL,,,,,
PETR3.SA,,,,,
PCG,2024-12-31,64.19,72.16,77.35,71.23
PFE,2024-09-29,77.04,60.14,68.69,68.62
PHIA.AS,,,,,
PM,2024-12-31,66.27,57.74,65.52,63.18
PIK.JO,,,,,
6773.T,,,,,
PC.MI,,,,,
PBI,2024-09-30,54.02,53.84,52.54,53.46
PNC,2024-09-30,53.65,60,58.23,57.29
PCL,2015-12-31,63.66,69.7,68.71,67.36
PSSA3.SA,,,,,
005490.KS,,,,,
KER.PA,,,,,
PHR.LS,,,,,
PX,2024-09-30,71.11,75.41,82.14,76.22
PFL.L,,,,,
PPC.JO,,,,,
PMO.L,,,,,
PFG,2024-09-30,53.6,66.66,67.53,62.6
PLD,2024-12-31,78.57,66.58,75.05,73.4
PFG.L,,,,,
PSPN.SW,,,,,
PTTEP.BK,,,,,
PTT.BK,,,,,
PRU,2024-12-31,60.43,67.12,60.76,62.77
QQ.L,,,,,
PUB.PA,,,,,
QAN.AX,,,,,
PUM.DE,,,,,
QCE.DE,,,,,
QBE.AX,,,,,
2352.TW,,,,,
DGX,2024-09-30,65.36,61.15,64.95,63.82
REE,2024-09-30,95.88,80.2,75.53,83.87
RAK.NZ,,,,,
RBI,,,,,
RRS.L,,,,,
RAT.L,,,,,
RTN,2019-12-31,57.74,69.38,68.31,65.14
RDF.JO,,,,,
RKT.L,,,,,
REL.L,,,,,
RNO.PA,,,,,
REM.JO,,,,,
RENE.LS,,,,,
3941.T,,,,,
RSW.L,,,,,
REP.MC,,,,,
BB.TO,,,,,
RTO.L,,,,,
RLO.JO,,,,,
7752.T,,,,,
0161814Z,,,,,
RBA.TO,,,,,
RIO.AX,,,,,
5947.T,,,,,
ROG.SW,,,,,
COL,,,,,
ROCKB.CO,,,,,
ROK,2024-12-31,67.68,72.85,75.43,71.98
RCI-B.TO,,,,,
RR.L,,,,,
RCL,2024-12-31,57.03,65.47,69.44,63.98
RBS.L,,,,,
RY.TO,,,,,
RSA.L,,,,,
KPN.AS,,,,,
RDSA.L,,,,,
RWE.DE,,,,,
RUS.TO,,,,,
SK.PA,,,,,
R,2024-12-31,59.57,59.65,64.75,61.32
SAABB.ST,,,,,
SGO.PA,,,,,
CRM,2024-10-31,72.87,63.41,63.27,66.52
010140.KS,,,,,
000830.KS,,,,,
028050.KS,,,,,
000810.KS,,,,,
005930.KS,,,,,
009150.KS,,,,,
006400.KS,,,,,
012450.KS,,,,,
SNDK,2016-04-03,47.03,58.48,66.18,57.23
SAP.JO,,,,,
2501.T,,,,,
SAN.PA,,,,,
STO.AX,,,,,
SNT.JO,,,,,
SAP.DE,,,,,
SCAB.ST,,,,,
SAS.ST,,,,,
SOL.JO,,,,,
SCS.BO,,,,,
SVS.L,,,,,
SCVB.ST,,,,,
SLB,2024-12-31,68.07,59.87,59.95,62.63
SU.PA,,,,,
SCHA.OL,,,,,
SDR.L,,,,,
SSE.L,,,,,
SCC.TO,,,,,
STX,2024-12-27,75.47,74.51,66.1,72.03
SECUB.ST,,,,,
SGRO.L,,,,,
4204.T,,,,,
1928.T,,,,,
SRE,2024-09-30,70.42,82.61,81.54,78.19
6724.T,,,,,
SRP.L,,,,,
SESG.PA,,,,,
SVT.L,,,,,
3382.T,,,,,
VEDL.BO,,,,,
8410.T,,,,,
SGSN.SW,,,,,
SHB.L,,,,,
6753.T,,,,,
1803.T,,,,,
4063.T,,,,,
SHW,2024-09-30,53.36,54.16,60.51,56.01
4911.T,,,,,
